path	sentence_id	t1_score_-1	t1_score_0	t1_score_1
sampled-201401-5307.json.eval.json	1	0	0	1
sampled-201401-5307.json.eval.json	2	0	0	1
sampled-201401-5307.json.eval.json	3	0	0	1
sampled-201401-5307.json.eval.json	4	0	0	1
sampled-201401-5307.json.eval.json	5	0	0	1
sampled-201401-5307.json.eval.json	6	0	0	1
sampled-201401-5307.json.eval.json	7	0	0	1
sampled-201401-5307.json.eval.json	8	0	0	1
sampled-201401-5307.json.eval.json	9	0	0	1
sampled-201401-5307.json.eval.json	10	0	0	1
sampled-201401-5307.json.eval.json	11	0	0	1
sampled-201401-5307.json.eval.json	12	0	0	1
sampled-201401-5307.json.eval.json	13	0	0	1
sampled-201401-5307.json.eval.json	14	0	0	1
sampled-201401-5307.json.eval.json	15	0	0	1
sampled-201401-5307.json.eval.json	16	0	0	1
sampled-201401-5307.json.eval.json	17	0	0	1
sampled-201401-5307.json.eval.json	18	0	0	1
sampled-201401-5307.json.eval.json	19	0	0	1
sampled-201401-5307.json.eval.json	20	0	0	1
sampled-201401-5307.json.eval.json	21	0	0	1
sampled-201401-5307.json.eval.json	22	0	0	1
sampled-201401-5307.json.eval.json	23	0	0	1
sampled-201401-5307.json.eval.json	24	0	0	1
sampled-201401-1976.json.eval.json	1	1	0	0
sampled-201401-1976.json.eval.json	2	1	0	0
sampled-201401-1976.json.eval.json	3	1	0	0
sampled-201401-1976.json.eval.json	4	0	0	1
sampled-201401-1976.json.eval.json	5	0	0	1
sampled-201401-1976.json.eval.json	6	0	0	1
sampled-201401-1976.json.eval.json	7	0	0	1
sampled-201401-1976.json.eval.json	8	0	0	1
sampled-201401-1976.json.eval.json	9	0	0	1
sampled-201401-1976.json.eval.json	10	0	0	1
sampled-201401-1976.json.eval.json	11	0	0	1
sampled-201401-1976.json.eval.json	12	0	0	1
sampled-201402-5194.json.eval.json	1	1	0	0
sampled-201402-5194.json.eval.json	2	0	0	1
sampled-201402-5194.json.eval.json	3	0	0	1
sampled-201402-5194.json.eval.json	4	0	0	1
sampled-201402-5194.json.eval.json	5	0	0	1
sampled-201402-5194.json.eval.json	6	0	0	1
sampled-201402-5194.json.eval.json	7	0	0	1
sampled-201402-5194.json.eval.json	8	0	0	1
sampled-201402-5194.json.eval.json	9	0	1	0
sampled-201402-5194.json.eval.json	10	0	0	1
sampled-201402-5194.json.eval.json	11	1	0	0
sampled-201402-5194.json.eval.json	12	1	0	0
sampled-201402-5194.json.eval.json	13	0	0	1
sampled-201402-4105.json.eval.json	1	0	0	1
sampled-201402-4105.json.eval.json	2	0	0	1
sampled-201402-4105.json.eval.json	3	0	0	1
sampled-201402-4105.json.eval.json	4	0	0	1
sampled-201402-4105.json.eval.json	5	0	0	1
sampled-201402-4105.json.eval.json	6	0	0	1
sampled-201402-4105.json.eval.json	7	0	0	1
sampled-201402-4105.json.eval.json	8	1	0	0
sampled-201402-4105.json.eval.json	9	0	0	1
sampled-201402-4105.json.eval.json	10	0	0	1
sampled-201402-4105.json.eval.json	11	0	0	1
sampled-201402-4105.json.eval.json	12	1	0	0
sampled-201402-4105.json.eval.json	13	0	0	1
sampled-201402-4105.json.eval.json	14	0	0	1
sampled-201402-4105.json.eval.json	15	0	0	1
sampled-201402-4105.json.eval.json	16	0	0	1
sampled-201402-4105.json.eval.json	17	0	0	1
sampled-201402-4105.json.eval.json	18	0	0	1
sampled-201402-4105.json.eval.json	19	0	0	1
sampled-201402-4105.json.eval.json	20	0	1	0
sampled-201402-4105.json.eval.json	21	0	0	1
sampled-201402-4105.json.eval.json	22	0	0	1
sampled-201402-4105.json.eval.json	23	0	1	0
sampled-201402-4105.json.eval.json	24	0	0	1
sampled-201402-4105.json.eval.json	25	0	1	0
sampled-201402-4105.json.eval.json	26	0	0	1
sampled-201402-4105.json.eval.json	27	0	0	1
sampled-201402-4105.json.eval.json	28	0	1	0
sampled-201402-1770.json.eval.json	1	0	0	1
sampled-201402-1770.json.eval.json	2	0	0	1
sampled-201402-1770.json.eval.json	3	0	0	1
sampled-201402-1770.json.eval.json	4	0	0	1
sampled-201402-1770.json.eval.json	5	0	0	1
sampled-201402-1770.json.eval.json	6	0	0	1
sampled-201402-1770.json.eval.json	7	0	0	1
sampled-201402-1770.json.eval.json	8	0	0	1
sampled-201402-1770.json.eval.json	9	0	0	1
sampled-201402-1770.json.eval.json	10	0	0	1
sampled-201402-1770.json.eval.json	11	0	0	1
sampled-201402-1770.json.eval.json	12	0	0	1
sampled-201402-1770.json.eval.json	13	0	0	1
sampled-201402-1770.json.eval.json	14	0	0	1
sampled-201402-1770.json.eval.json	15	0	0	1
sampled-201402-1770.json.eval.json	16	0	0	1
sampled-201402-1770.json.eval.json	17	0	0	1
sampled-201402-1770.json.eval.json	18	0	0	1
sampled-201402-1770.json.eval.json	19	0	0	1
sampled-201402-977.json.eval.json	1	0	0	1
sampled-201402-977.json.eval.json	2	0	0	1
sampled-201402-977.json.eval.json	3	0	0	1
sampled-201402-977.json.eval.json	4	0	0	1
sampled-201402-977.json.eval.json	5	0	0	1
sampled-201402-977.json.eval.json	6	0	0	1
sampled-201402-977.json.eval.json	7	0	0	1
sampled-201402-977.json.eval.json	8	0	0	1
sampled-201402-977.json.eval.json	9	0	0	1
sampled-201402-977.json.eval.json	10	0	0	1
sampled-201402-977.json.eval.json	11	0	0	1
sampled-201402-977.json.eval.json	12	1	0	0
sampled-201402-977.json.eval.json	13	1	0	0
sampled-201402-977.json.eval.json	14	0	0	1
sampled-201402-977.json.eval.json	15	0	0	1
sampled-201402-977.json.eval.json	16	0	0	1
sampled-201402-977.json.eval.json	17	0	0	1
sampled-201402-977.json.eval.json	18	0	0	1
sampled-201402-977.json.eval.json	19	0	0	1
sampled-201402-977.json.eval.json	20	0	0	1
sampled-201301-15079.json.eval.json	1	0	0	1
sampled-201301-15079.json.eval.json	2	0	0	1
sampled-201301-15079.json.eval.json	3	0	0	1
sampled-201301-15079.json.eval.json	4	0	0	1
sampled-201301-15079.json.eval.json	5	0	0	1
sampled-201301-15079.json.eval.json	6	1	0	0
sampled-201301-15079.json.eval.json	7	1	0	0
sampled-201301-15079.json.eval.json	8	0	0	1
sampled-201301-15079.json.eval.json	9	0	0	1
sampled-201301-15079.json.eval.json	10	0	0	1
sampled-201301-6264.json.eval.json	1	0	0	1
sampled-201301-6264.json.eval.json	2	0	0	1
sampled-201301-6264.json.eval.json	3	0	0	1
sampled-201301-6264.json.eval.json	4	0	0	1
sampled-201301-6264.json.eval.json	5	0	0	1
sampled-201301-6264.json.eval.json	6	0	0	1
sampled-201301-6264.json.eval.json	7	0	0	1
sampled-201301-6264.json.eval.json	8	0	0	1
sampled-201301-6264.json.eval.json	9	0	0	1
sampled-201301-6264.json.eval.json	10	0	0	1
sampled-201301-6264.json.eval.json	11	0	0	1
sampled-201301-6264.json.eval.json	12	0	0	1
sampled-201301-6264.json.eval.json	13	0	0	1
sampled-201301-6264.json.eval.json	14	0	0	1
sampled-201301-6264.json.eval.json	15	0	0	1
sampled-201301-6264.json.eval.json	16	0	0	1
sampled-201301-6264.json.eval.json	17	0	0	1
sampled-201301-6264.json.eval.json	18	0	0	1
sampled-201301-6264.json.eval.json	19	0	0	1
sampled-201301-6264.json.eval.json	20	0	0	1
sampled-201301-6264.json.eval.json	21	0	0	1
sampled-201301-6264.json.eval.json	22	0	0	1
sampled-201301-6264.json.eval.json	23	0	0	1
sampled-201301-6264.json.eval.json	24	0	0	1
sampled-201301-6264.json.eval.json	25	0	0	1
sampled-201301-6264.json.eval.json	26	0	0	1
sampled-201301-6264.json.eval.json	27	0	0	1
sampled-201301-6264.json.eval.json	28	0	0	1
sampled-201301-6264.json.eval.json	29	0	0	1
sampled-201301-6264.json.eval.json	30	0	0	1
sampled-201301-6264.json.eval.json	31	0	0	1
